VendorName,ProfitMargin,SalesToPurchaseRatio,UnsoldInventoryValue,ActionBucket
CONSTELLATION BRANDS INC,41.983619732141584,1.7236511402177372,2093.4800000000755,Scale / Prioritise
PERNOD RICARD USA,18.732102606990818,1.2304981820361724,13459.31999999986,Deprioritise / Exit
ULTRA BEVERAGE COMPANY LLP,30.31625488242013,1.4350549017029213,26404.63999999981,Deprioritise / Exit
MOET HENNESSY USA INC,27.23219017909571,1.374234022517916,3067.9300000000467,Deprioritise / Exit
WINE GROUP INC,33.389311544946516,1.5012605682266207,1430.6700000000044,Scale / Prioritise
JIM BEAM BRANDS COMPANY,18.840071078073056,1.2321351352611034,6701.349999999991,Deprioritise / Exit
WILLIAM GRANT & SONS INC,16.777972460895484,1.201604947115856,34796.44999999982,Deprioritise / Exit
ULTRA BEVERAGE COMPANY LLP,23.802879054119,1.3123855436877332,10894.550000000132,Deprioritise / Exit
CAMPARI AMERICA,21.776590719729874,1.2783896907600327,9695.729999999778,Deprioritise / Exit
MOET HENNESSY USA INC,24.49097240678537,1.3243449583104705,6603.810000000141,Deprioritise / Exit
BROWN-FORMAN CORP,17.4499196410257,1.2113858589251956,25710.79999999995,Deprioritise / Exit
BACARDI USA INC,17.38034671328352,1.210365766762155,5661.420000000144,Deprioritise / Exit
WILLIAM GRANT & SONS INC,23.940138256959553,1.3147539018390353,9836.00999999963,Deprioritise / Exit
PERNOD RICARD USA,23.06312485039797,1.2997668517931387,22087.009999999813,Deprioritise / Exit
SIDNEY FRANK IMPORTING CO,20.307801443018214,1.2548279732613683,3133.519999999992,Deprioritise / Exit
CONSTELLATION BRANDS INC,41.511346374893435,1.7097333209440553,593.0400000000075,Scale / Prioritise
M S WALKER INC,45.28782231954616,1.827746659693376,9219.120000000092,Scale / Prioritise
JIM BEAM BRANDS COMPANY,27.660070838540555,1.38236242638287,2492.7999999997633,Deprioritise / Exit
MOET HENNESSY USA INC,25.795898603783495,1.3476344045465223,4618.350000000044,Deprioritise / Exit
JIM BEAM BRANDS COMPANY,29.20335685056385,1.4124963494232627,3530.1200000000317,Deprioritise / Exit
BROWN-FORMAN CORP,27.61703386271959,1.3815405106546967,2720.239999999965,Deprioritise / Exit
BACARDI USA INC,22.20868566548289,1.285490557081751,16084.240000000558,Deprioritise / Exit
MARTIGNETTI COMPANIES,33.56654900842946,1.5052657736038517,13265.0,Scale / Prioritise
JIM BEAM BRANDS COMPANY,27.178611191362638,1.3732229175521984,822.220000000002,Deprioritise / Exit
MARTIGNETTI COMPANIES,31.545150324632072,1.46081688111548,8224.469999999958,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,22.3474431830393,1.287787602869481,6495.92999999995,Deprioritise / Exit
BROWN-FORMAN CORP,33.09681030848866,1.4946970460017988,-16650.450000000175,Deprioritise / Exit
MOET HENNESSY USA INC,17.21880542068353,1.2080038287462185,18463.67999999974,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,15.830801947947146,1.1880830792537298,14399.00000000045,Deprioritise / Exit
CONSTELLATION BRANDS INC,41.48729628134426,1.709030580450118,2236.7200000000494,Scale / Prioritise
DIAGEO NORTH AMERICA INC,22.054982839306785,1.2829556480029727,7841.430000000259,Deprioritise / Exit
MAJESTIC FINE WINES,27.703354097343546,1.383190032558974,28191.200000000492,Deprioritise / Exit
WILLIAM GRANT & SONS INC,18.396260082978984,1.225434031598126,29667.09999999976,Deprioritise / Exit
WILLIAM GRANT & SONS INC,22.18000448116658,1.285016779213239,14612.399999999792,Deprioritise / Exit
PERFECTA WINES,19.447236118187824,1.2414223321588445,42150.32999999992,Deprioritise / Exit
BROWN-FORMAN CORP,33.59758268597062,1.5059692710745967,-579.8799999999892,Scale / Prioritise
PERFECTA WINES,36.79340776325451,1.5821134546447586,5491.180000000161,Scale / Prioritise
CONSTELLATION BRANDS INC,25.481206638259412,1.3419433607112319,1655.709999999975,Deprioritise / Exit
CONSTELLATION BRANDS INC,35.1356720279413,1.5416794272974896,2461.8899999999257,Scale / Prioritise
CONSTELLATION BRANDS INC,37.00830542600648,1.5875108722870517,6170.8500000001695,Scale / Prioritise
TRINCHERO FAMILY ESTATES,33.104552663752344,1.494870039471497,12676.880000000234,Deprioritise / Exit
DIAGEO NORTH AMERICA INC,28.130413742411925,1.3914091510362894,5754.449999999922,Deprioritise / Exit
WINE GROUP INC,35.48641876419983,1.550061213227263,6263.439999999733,Scale / Prioritise
